TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1472436551,"North Station","2161","Newburyport",1472437200,0,,"On Time"
1472436551,"North Station","2315","Lowell",1472441400,0,,"On Time"
1472436551,"North Station","2113","Rockport",1472441400,0,,"On Time"
1472436551,"North Station","2413","Fitchburg",1472441400,0,,"On Time"
1472436551,"North Station","2211","Haverhill",1472441400,0,,"On Time"
1472436551,"South Station","2015","Middleboro/ Lakeville",1472438100,0,,"On Time"
1472436551,"South Station","2517","Worcester / Union Station",1472438400,0,,"On Time"
1472436551,"South Station","2041","Kingston",1472438700,0,,"On Time"
1472436551,"South Station","2783","Readville",1472439000,0,,"On Time"
1472436551,"South Station","2085","Greenbush",1472439300,0,,"On Time"
1472436551,"South Station","2817","Providence",1472440200,0,,"On Time"
1472436551,"South Station","2719","Forge Park / 495",1472440800,0,,"On Time"
